latitude,longitude,avg_convenience_dist,avg_transit_distance,avg_school_distance
49.2847328,-122.9798237,,,2.3512287326692123
49.2322488,-122.9212089,,2.4854654707723576,
49.2496906,-122.8940859,,1.0202957807847384,
49.2350546,-122.950665,2.6919011852407624,,2.4361218729573575
49.2263362,-123.0066066,1.9466063411059753,,1.5422196279818394
49.2249375,-123.0070119,2.0069355690694697,,1.5619741700700611
49.2319281,-122.9270398,,2.7147813770477356,
49.2668115,-123.0007786,2.3462291639623283,,2.1723988417776123
49.2234189,-122.9921505,1.5505654386592267,,0.8092759916318781
49.254059,-122.904445,,0.9862975780257086,
49.2648732,-123.0094351,1.8491386595429715,,2.248550920842195
49.2243379,-122.9844235,0.25062206341870935,,1.973735064013502
49.2234743,-123.0006669,1.5749947154096295,,1.4927663923584156
49.2227754,-122.9922157,1.5678063593396192,,0.8005540107658891
49.266421,-122.990945,2.6799897202732494,,2.233736740114157
49.2668115,-123.0007786,2.3462291639623283,,2.1723988417776123
49.2625734,-123.0005502,1.991439925812237,,2.0302296418903074
49.2805858,-122.9853484,,,1.927804322060981
49.2628157,-123.0040913,1.845613140980331,,2.242002397343233
49.2228283,-123.0119434,1.6646182998718273,,1.7329826806162434
49.2290892,-123.0027106,1.9008116865184652,,1.808611198705333
49.2677095,-122.9564857,1.3242077878136536,,2.681775858755592
49.2245617,-123.0048299,2.0369178765711733,,1.520123196915731
49.2293447,-122.997897,1.9770029206334832,,1.9919823734211994
49.22793,-122.995884,2.034071753757287,,2.0163121653655125
49.284067,-122.990126,,,1.6016956474782467
49.223439,-122.951928,2.589417706563391,,2.5454240643833237
49.2522069,-122.8945421,,1.1128534727072745,
49.2686766,-123.0057295,2.345046197841988,,2.1892860051271317
49.22793,-122.995884,2.034071753757287,,2.0163121653655125
49.2287559,-123.0014456,1.926128661935773,,2.029912940865076
49.229081,-123.005525,1.8647815927803835,,1.8591886863165694
49.2337171,-123.0202991,1.6559480736362426,,1.610835020604199
49.2332241,-123.0195463,1.6631790763987144,,1.6296221654375824
49.2185757,-122.9495349,2.815622298730397,,2.597246604534417
49.266419,-122.9832176,2.085957880910576,,2.1268500876461744
49.2664622,-122.9834687,2.103767222893431,,2.124981248009396
49.2634236,-122.9977824,2.55443086977477,,2.055094771688533
49.2794833,-122.9044848,,,
49.2249375,-123.0070119,2.0069355690694697,,1.5619741700700611
49.262759,-122.933189,2.044928927458134,1.473606838595186,
49.2227754,-122.9922157,1.5678063593396192,,0.8005540107658891
49.2185757,-122.9495349,2.815622298730397,,2.597246604534417
49.2804279,-122.982896,,,2.106431962652956
49.2112812,-122.990677,1.3697025383597008,,1.2496278512405907
49.2804279,-122.982896,,,2.106431962652956
49.2804027,-122.9086955,,,
49.2775465,-122.9100341,,2.6972825636715334,
49.2659548,-123.0080973,1.9982893871483343,,2.2743683152874823
49.2287559,-123.0014456,1.926128661935773,,2.029912940865076
49.2657153,-123.0035906,2.131131216435814,,2.3020635444489406
49.2501393,-122.8940917,,1.0377875495008186,
49.2548243,-122.9547464,0.35780581018215546,2.6598454111310335,2.0149142876064796
49.2147596,-122.9534353,2.6610640364442957,,2.3024863803761453
49.2332529,-123.0089651,1.7456116074179535,,2.0589474289801406
49.2302309,-122.9623508,2.4250940867771855,,2.5751795584363437
49.2287559,-123.0014456,1.926128661935773,,2.029912940865076
49.2227754,-122.9922157,1.5678063593396192,,0.8005540107658891
49.2601427,-122.9055148,,1.3636838935539508,
49.2227754,-122.9922157,1.5678063593396192,,0.8005540107658891
49.2706437,-122.9567382,1.6449688588108609,,2.6992714950546097
49.27979,-122.904988,,,
49.2287643,-123.0086023,1.842889124972561,,2.1356160249810494
49.2157069,-122.9777902,1.1152939590669695,,1.2633468034296083
49.2809183,-123.0011042,,,0.7852526830293601
49.2247812,-122.9766954,0.8048311778473947,,2.1465539789261716
49.2176301,-122.9998515,1.8512002008094242,,1.0513553628280636
49.2524697,-122.9533445,0.583677032231801,2.560793404253311,2.0620394902155335
49.2757475,-122.908985,,2.5213726585643053,
49.2804027,-122.9086955,,,
49.2666702,-122.9808455,1.9623321230764539,,2.1832352521585445
49.2771999,-122.9075029,,2.706167115631586,
49.2332529,-123.0089651,1.7456116074179535,,2.0589474289801406
49.2629537,-123.0081528,1.6977685206301465,,2.221754744813583
49.2141637,-122.9952899,1.1727982473136929,,1.1008313820287141
49.2245617,-123.0048299,2.0369178765711733,,1.520123196915731
49.2651874,-122.9927837,2.616117498296619,,2.155141392963783
49.2258626,-123.0074036,1.9618960018775082,,1.56206282908897
49.280126,-122.9097613,,2.9818480046976554,
49.236113,-123.0183419,1.6492262925949361,,1.8704849193350417
49.280625,-122.982961,,,2.1004828662225012
